iter	Passed	Remaining
478	588	640
479	589	638
480	590	636
481	590	634
482	591	633
483	592	631
484	592	629
485	593	627
486	595	626
487	596	625
488	596	623
489	597	622
490	598	620
491	599	618
492	599	616
493	601	615
494	602	614
495	603	612
496	604	611
497	605	609
498	606	608
499	606	606
500	607	605
501	608	603
502	609	601
503	610	600
504	611	599
505	611	597
506	612	595
507	613	594
508	614	592
509	615	590
510	615	589
511	616	587
512	617	585
513	618	584
514	618	582
515	619	581
516	620	579
517	621	577
518	622	577
519	623	575
520	624	574
521	625	572
522	626	571
523	628	571
524	630	570
525	630	568
526	631	567
527	633	566
528	634	564
529	635	563
530	636	562
531	637	560
532	638	559
533	639	558
534	640	557
535	641	555
536	642	554
537	643	552
538	646	552
539	647	551
540	648	550
541	650	549
542	651	548
543	669	561
544	670	559
545	671	558
546	672	556
547	673	555
548	674	553
549	675	552
550	676	550
551	676	549
552	677	547
553	678	546
554	680	545
555	681	543
556	682	542
557	683	541
558	684	539
559	685	538
560	686	536
561	687	535
562	687	533
563	688	532
564	690	531
565	692	530
566	693	529
567	693	527
568	694	526
569	695	524
570	696	523
571	698	522
572	699	521
573	700	519
574	701	518
575	702	516
576	703	515
577	704	514
578	705	513
579	706	511
580	707	510
581	709	509
582	710	508
583	711	506
584	712	505
585	713	503
586	713	502
587	715	501
588	717	500
589	718	499
590	719	498
591	721	497
592	722	495
593	722	494
594	723	492
595	724	491
596	727	490
597	728	489
598	729	488
599	729	486
600	731	485
601	733	484
602	735	483
603	735	482
604	736	480
605	737	479
606	738	478
607	739	476
608	740	475
609	740	473
610	741	472
611	742	470
612	743	469
613	744	467
614	745	466
615	746	465
616	747	464
617	748	462
618	749	461
619	749	459
620	750	458
621	753	457
622	754	456
623	755	455
624	756	453
625	757	452
626	758	451
627	758	449
628	759	448
629	760	446
630	761	445
631	762	443
632	763	442
633	763	440
634	764	439
635	765	438
636	766	436
637	766	435
638	767	433
639	768	432
640	769	430
641	770	429
642	771	428
643	772	426
644	773	425
645	774	424
646	775	423
647	776	421
648	777	420
649	778	419
650	778	417
651	779	416
652	780	414
653	781	413
654	782	412
655	784	411
656	785	410
657	786	408
658	787	407
659	787	405
660	788	404
661	789	403
662	790	401
663	791	400
664	792	399
665	793	397
666	794	396
667	795	395
668	796	394
669	797	392
670	797	391
671	798	389
672	799	388
673	800	387
674	801	385
675	802	384
676	805	384
677	806	383
678	808	382
679	809	380
680	809	379
681	810	378
682	811	376
683	812	375
684	813	374
685	814	372
686	815	371
687	815	370
688	816	368
689	818	367
690	819	366
691	821	365
692	823	364
693	824	363
694	825	362
695	826	360
696	826	359
697	827	358
698	828	356
699	829	355
700	830	354
701	831	353
702	833	351
703	833	350
704	834	349
705	834	347
706	835	346
707	836	344
708	836	343
709	837	342
710	838	340
711	839	339
712	840	338
713	840	336
714	841	335
715	842	334
716	843	332
717	844	331
718	845	330
719	846	329
720	847	327
721	848	326
722	849	325
723	850	324
724	851	322
725	852	321
726	853	320
727	854	319
728	856	318
729	856	316
730	858	315
731	858	314
732	859	313
733	860	311
734	860	310
735	861	309
736	862	307
737	863	306
738	864	305
739	865	303
740	866	302
741	867	301
742	868	300
743	868	298
744	869	297
745	870	296
746	871	295
747	872	294
748	874	292
749	875	291
750	876	290
751	877	289
752	878	288
753	879	287
754	881	285
755	882	284
756	883	283
757	884	282
758	885	281
759	886	279
760	887	278
761	887	277
762	888	276
763	889	274
764	890	273
765	891	272
766	892	271
767	893	269
768	894	268
769	894	267
770	896	266
771	897	265
772	898	263
773	899	262
774	900	261
775	901	260
776	901	258
777	903	257
778	904	256
779	905	255
780	906	254
781	907	252
782	908	251
783	910	250
784	911	249
785	912	248
786	913	247
787	914	245
788	915	244
789	916	243
790	917	242
791	918	241
792	919	239
793	920	238
794	920	237
795	921	236
796	922	235
797	924	233
798	924	232
799	925	231
800	927	230
801	928	229
802	929	228
803	931	227
804	933	226
805	934	224
806	935	223
807	936	222
808	937	221
809	938	220
810	939	218
811	940	217
812	942	216
813	943	215
814	944	214
815	944	213
816	946	211
817	947	210
818	948	209
819	949	208
820	951	207
821	955	206
822	956	205
823	957	204
824	958	203
825	959	202
826	960	201
827	962	199
828	965	199
829	967	198
830	968	197
831	969	195
832	970	194
833	971	193
834	972	192
835	973	191
836	975	189
837	976	188
838	977	187
839	979	186
840	981	185
841	983	184
842	984	183
843	985	182
844	986	180
845	987	179
846	988	178
847	989	177
848	990	176
849	992	175
850	994	174
851	996	173
852	997	171
853	998	170
854	1000	169
855	1001	168
856	1006	167
857	1009	167
858	1010	165
859	1011	164
860	1013	163
861	1015	162
862	1016	161
863	1017	160
864	1018	159
865	1020	157
866	1021	156
867	1023	155
868	1024	154
869	1026	153
870	1027	152
871	1029	151
872	1031	150
873	1032	148
874	1034	147
875	1036	146
876	1038	145
877	1040	144
878	1042	143
879	1045	142
880	1047	141
881	1048	140
882	1051	139
883	1053	138
884	1054	137
885	1057	136
886	1059	135
887	1061	133
888	1065	133
889	1066	131
890	1070	130
891	1073	129
892	1080	129
893	1084	128
894	1087	127
895	1096	127
896	1104	126
897	1107	125
898	1110	124
899	1113	123
900	1119	123
901	1123	122
902	1126	120
903	1129	119
904	1132	118
905	1135	117
906	1143	117
907	1149	116
908	1153	115
909	1158	114
910	1161	113
911	1163	112
912	1166	111
913	1168	109
914	1171	108
915	1174	107
916	1177	106
917	1181	105
918	1185	104
919	1188	103
920	1191	102
921	1194	101
922	1198	99
923	1204	99
924	1207	97
925	1210	96
926	1214	95
927	1217	94
928	1221	93
929	1224	92
930	1227	90
931	1230	89
932	1233	88
933	1236	87
934	1240	86
935	1242	84
936	1245	83
937	1250	82
938	1253	81
939	1255	80
940	1258	78
941	1261	77
942	1264	76
943	1266	75
944	1269	73
945	1271	72
946	1273	71
947	1276	70
948	1278	68
949	1281	67
950	1283	66
951	1286	64
952	1290	63
953	1293	62
954	1295	61
955	1298	59
956	1301	58
957	1304	57
958	1306	55
959	1309	54
960	1311	53
961	1314	51
962	1317	50
963	1319	49
964	1322	47
965	1325	46
966	1327	45
967	1330	43
968	1332	42
969	1334	41
970	1337	39
971	1339	38
972	1342	37
973	1344	35
974	1347	34
975	1350	33
976	1353	31
977	1355	30
978	1358	29
979	1360	27
980	1363	26
981	1366	25
982	1368	23
983	1370	22
984	1373	20
985	1375	19
986	1377	18
987	1380	16
988	1382	15
989	1385	13
990	1388	12
991	1392	11
992	1395	9
993	1414	8
994	1421	7
995	1432	5
996	1438	4
997	1489	2
998	1545	1
999	1548	0
